1	1	4	-0.5
1	1	5	0.8660254
1	2	3	-0.70710678
1	3	2	0.70710678
1	4	1	0.5
1	5	1	-0.8660254
2	1	6	0.70710678
2	2	4	-1.
2	4	2	1.
2	6	1	-0.70710678
3	1	7	-0.70710678
3	3	4	0.5
3	3	5	0.8660254
3	4	3	-0.5
3	5	3	-0.8660254
3	7	1	0.70710678
4	1	8	0.5
4	2	7	-1.
4	3	6	0.5
4	6	3	-0.5
4	7	2	1.
4	8	1	-0.5
5	1	8	-0.8660254
5	3	6	0.8660254
5	6	3	-0.8660254
5	8	1	0.8660254
6	2	8	-0.70710678
6	4	6	0.5
6	5	6	0.8660254
6	6	4	-0.5
6	6	5	-0.8660254
6	8	2	0.70710678
7	3	8	0.70710678
7	4	7	-1.
7	7	4	1.
7	8	3	-0.70710678
8	4	8	-0.5
8	5	8	0.8660254
8	6	7	-0.70710678
8	7	6	0.70710678
8	8	4	0.5
8	8	5	-0.8660254
