0.999999993782 0.000000000000 1 1 1 3 0 1 1 1 1 0 1 2 1 2 0 1 3 1 3
0.999999993782 0.000000000000 1 1 2 3 0 1 1 1 1 0 1 2 1 3 0 1 3 1 2
0.999999993782 0.000000000000 1 1 3 3 0 1 1 1 2 0 1 2 1 1 0 1 3 1 3
0.999999993782 0.000000000000 1 1 4 3 0 1 1 1 2 0 1 2 1 3 0 1 3 1 1
0.999999993782 0.000000000000 1 1 5 3 0 1 1 1 3 0 1 2 1 1 0 1 3 1 2
0.999999993782 0.000000000000 1 1 6 3 0 1 1 1 3 0 1 2 1 2 0 1 3 1 1
-1.000000012411 0.000000000000 2 2 1 3 0 1 1 1 1 0 1 2 1 2 0 1 3 1 3
1.000000012411 0.000000000000 2 2 2 3 0 1 1 1 1 0 1 2 1 3 0 1 3 1 2
1.000000012411 0.000000000000 2 2 3 3 0 1 1 1 2 0 1 2 1 1 0 1 3 1 3
-1.000000012411 0.000000000000 2 2 4 3 0 1 1 1 2 0 1 2 1 3 0 1 3 1 1
-1.000000012411 0.000000000000 2 2 5 3 0 1 1 1 3 0 1 2 1 1 0 1 3 1 2
1.000000012411 0.000000000000 2 2 6 3 0 1 1 1 3 0 1 2 1 2 0 1 3 1 1
-3.000000037232 0.000000000000 2 2 7 2 4 2 1 3 2 1 3 0 1 2 1 2
3.000000037232 0.000000000000 2 2 8 2 3 2 1 3 1 2 3 1 2 2 1 3
-3.000000037232 0.000000000000 2 2 9 2 3 2 1 3 1 1 3 1 2 2 2 3
3.000000037232 0.000000000000 2 2 10 2 4 2 1 3 2 2 3 0 1 2 1 1
3.000000037232 0.000000000000 2 2 11 2 4 2 1 3 2 1 2 0 1 2 1 3
-3.000000037232 0.000000000000 2 2 12 2 3 2 1 3 1 3 3 1 2 2 1 2
-3.000000037232 0.000000000000 2 2 13 2 3 1 1 2 1 3 3 2 2 3 1 2
3.000000037232 0.000000000000 2 2 14 2 0 1 1 1 2 4 2 2 3 2 1 3
-3.000000037232 0.000000000000 2 2 15 2 0 1 1 1 1 4 2 2 3 2 2 3
3.000000037232 0.000000000000 2 2 16 2 3 1 1 2 2 3 3 2 2 3 1 1
3.000000037232 0.000000000000 2 2 17 2 3 1 1 2 1 2 3 2 2 3 1 3
-3.000000037232 0.000000000000 2 2 18 2 0 1 1 1 3 4 2 2 3 2 1 2
3.000000037232 0.000000000000 2 2 19 2 4 2 1 2 2 1 3 0 1 3 1 2
-3.000000037232 0.000000000000 2 2 20 2 3 2 1 2 1 2 3 1 3 2 1 3
3.000000037232 0.000000000000 2 2 21 2 3 2 1 2 1 1 3 1 3 2 2 3
-3.000000037232 0.000000000000 2 2 22 2 4 2 1 2 2 2 3 0 1 3 1 1
-3.000000037232 0.000000000000 2 2 23 2 4 2 1 2 2 1 2 0 1 3 1 3
3.000000037232 0.000000000000 2 2 24 2 3 2 1 2 1 3 3 1 3 2 1 2
