0.866025389621 0.000000000000 1 3 1 3 3 1 1 2 1 4 0 1 2 1 2 0 1 3 1 3
0.866025389621 0.000000000000 1 3 2 3 3 1 1 2 1 4 0 1 2 1 3 0 1 3 1 2
0.866025389621 0.000000000000 1 3 3 3 0 1 1 1 2 3 1 2 2 1 4 0 1 3 1 3
0.866025389621 0.000000000000 1 3 4 3 0 1 1 1 2 0 1 2 1 3 3 1 3 2 1 4
0.866025389621 0.000000000000 1 3 5 3 0 1 1 1 3 3 1 2 2 1 4 0 1 3 1 2
0.866025389621 0.000000000000 1 3 6 3 0 1 1 1 3 0 1 2 1 2 3 1 3 2 1 4
0.866025389621 0.000000000000 1 3 7 3 0 1 1 1 1 3 1 2 2 2 4 0 1 3 1 3
0.866025389621 0.000000000000 1 3 8 3 0 1 1 1 1 0 1 2 1 3 3 1 3 2 2 4
0.866025389621 0.000000000000 1 3 9 3 3 1 1 2 2 4 0 1 2 1 1 0 1 3 1 3
0.866025389621 0.000000000000 1 3 10 3 3 1 1 2 2 4 0 1 2 1 3 0 1 3 1 1
0.866025389621 0.000000000000 1 3 11 3 0 1 1 1 3 0 1 2 1 1 3 1 3 2 2 4
0.866025389621 0.000000000000 1 3 12 3 0 1 1 1 3 3 1 2 2 2 4 0 1 3 1 1
-1.732050779241 0.000000000000 1 3 13 3 0 1 1 1 1 0 1 2 1 2 3 1 3 2 3 4
-1.732050779241 0.000000000000 1 3 14 3 0 1 1 1 1 3 1 2 2 3 4 0 1 3 1 2
-1.732050779241 0.000000000000 1 3 15 3 0 1 1 1 2 0 1 2 1 1 3 1 3 2 3 4
-1.732050779241 0.000000000000 1 3 16 3 0 1 1 1 2 3 1 2 2 3 4 0 1 3 1 1
-1.732050779241 0.000000000000 1 3 17 3 3 1 1 2 3 4 0 1 2 1 1 0 1 3 1 2
-1.732050779241 0.000000000000 1 3 18 3 3 1 1 2 3 4 0 1 2 1 2 0 1 3 1 1
-0.866025389621 0.000000000000 1 3 19 3 3 1 1 2 1 3 0 1 2 1 2 0 1 3 1 4
-0.866025389621 0.000000000000 1 3 20 3 3 1 1 2 1 3 0 1 2 1 4 0 1 3 1 2
-0.866025389621 0.000000000000 1 3 21 3 0 1 1 1 2 3 1 2 2 1 3 0 1 3 1 4
-0.866025389621 0.000000000000 1 3 22 3 0 1 1 1 2 0 1 2 1 4 3 1 3 2 1 3
-0.866025389621 0.000000000000 1 3 23 3 0 1 1 1 4 3 1 2 2 1 3 0 1 3 1 2
-0.866025389621 0.000000000000 1 3 24 3 0 1 1 1 4 0 1 2 1 2 3 1 3 2 1 3
-0.866025389621 0.000000000000 1 3 25 3 0 1 1 1 1 3 1 2 2 2 3 0 1 3 1 4
-0.866025389621 0.000000000000 1 3 26 3 0 1 1 1 1 0 1 2 1 4 3 1 3 2 2 3
-0.866025389621 0.000000000000 1 3 27 3 3 1 1 2 2 3 0 1 2 1 1 0 1 3 1 4
-0.866025389621 0.000000000000 1 3 28 3 3 1 1 2 2 3 0 1 2 1 4 0 1 3 1 1
-0.866025389621 0.000000000000 1 3 29 3 0 1 1 1 4 0 1 2 1 1 3 1 3 2 2 3
-0.866025389621 0.000000000000 1 3 30 3 0 1 1 1 4 3 1 2 2 2 3 0 1 3 1 1
2.598076168862 0.000000000000 1 3 37 2 4 2 1 3 2 1 3 3 1 2 2 2 4
-2.598076168862 0.000000000000 1 3 38 2 4 2 1 3 2 2 4 3 1 2 2 1 3
-2.598076168862 0.000000000000 1 3 39 2 4 2 1 3 2 1 4 3 1 2 2 2 3
2.598076168862 0.000000000000 1 3 40 2 4 2 1 3 2 2 3 3 1 2 2 1 4
-5.196152337724 0.000000000000 1 3 41 2 4 2 1 3 2 1 2 3 1 2 2 3 4
-2.598076168862 0.000000000000 1 3 43 2 3 1 1 2 1 3 4 2 2 3 2 2 4
2.598076168862 0.000000000000 1 3 44 2 3 1 1 2 2 4 4 2 2 3 2 1 3
2.598076168862 0.000000000000 1 3 45 2 3 1 1 2 1 4 4 2 2 3 2 2 3
-2.598076168862 0.000000000000 1 3 46 2 3 1 1 2 2 3 4 2 2 3 2 1 4
-5.196152337724 0.000000000000 1 3 48 2 3 1 1 2 3 4 4 2 2 3 2 1 2
2.598076168862 0.000000000000 1 3 49 2 4 2 1 2 2 1 3 3 1 3 2 2 4
-2.598076168862 0.000000000000 1 3 50 2 4 2 1 2 2 2 4 3 1 3 2 1 3
-2.598076168862 0.000000000000 1 3 51 2 4 2 1 2 2 1 4 3 1 3 2 2 3
2.598076168862 0.000000000000 1 3 52 2 4 2 1 2 2 2 3 3 1 3 2 1 4
-5.196152337724 0.000000000000 1 3 53 2 4 2 1 2 2 1 2 3 1 3 2 3 4
0.045712489522 0.000000000000 1 5 1 3 3 1 1 2 1 4 0 1 2 1 2 0 1 3 1 3
0.045712489522 0.000000000000 1 5 2 3 3 1 1 2 1 4 0 1 2 1 3 0 1 3 1 2
0.045712489522 0.000000000000 1 5 3 3 0 1 1 1 2 3 1 2 2 1 4 0 1 3 1 3
0.045712489522 0.000000000000 1 5 4 3 0 1 1 1 2 0 1 2 1 3 3 1 3 2 1 4
0.045712489522 0.000000000000 1 5 5 3 0 1 1 1 3 3 1 2 2 1 4 0 1 3 1 2
0.045712489522 0.000000000000 1 5 6 3 0 1 1 1 3 0 1 2 1 2 3 1 3 2 1 4
