     3      2 -8.5045330516e-02
     4      2 -8.5045330516e-02
     5      2 -1.1833915537e-01
     6      2 -1.1833915537e-01
     3      3 -1.2042857143e+01
     4      3 -1.2042857143e+01
     5      3 -2.2791293477e+01
     6      3 -2.2791293477e+01
     3      4 -1.6057142857e+01
     4      4 -1.6057142857e+01
     5      4 -3.1850239035e+01
     6      4 -3.1850239035e+01
     3      5 -2.0071428571e+01
     4      5 -2.0071428571e+01
     5      5 -4.0477005723e+01
     6      5 -4.0477005723e+01
     3      6 -2.4085714286e+01
     4      6 -2.4085714286e+01
     5      6 -4.8748004414e+01
     6      6 -4.8748004414e+01
     3      7 -2.8100000000e+01
     4      7 -2.8100000000e+01
     5      7 -5.7711952026e+01
     6      7 -5.7711952026e+01
