     3      2 5.7142857143e-01
     4      2 5.7142857143e-01
     5      2 3.6227119784e-01
     6      2 3.6227119784e-01
     3      3 8.5714285714e-01
     4      3 8.5714285714e-01
     5      3 5.4340679676e-01
     6      3 5.4340679676e-01
     3      4 1.1428571429e+00
     4      4 1.1428571429e+00
     5      4 7.2454239567e-01
     6      4 7.2454239567e-01
     3      5 1.4285714286e+00
     4      5 1.4285714286e+00
     5      5 9.0567799459e-01
     6      5 9.0567799459e-01
     3      6 1.7142857143e+00
     4      6 1.7142857143e+00
     5      6 1.0868135935e+00
     6      6 1.0868135935e+00
     3      7 2.0000000000e+00
     4      7 2.0000000000e+00
     5      7 1.2679491924e+00
     6      7 1.2679491924e+00
